payment_id,customer_id,date,amount,payment_method
P8273871,C100015,2022-05-09,299,netbanking
P7581810,C100015,2022-03-26,299,card
P8051394,C100015,2023-03-02,2999,card
P9110374,C100015,2022-10-09,299,netbanking
P1489741,C100015,2022-03-09,299,card
P4688890,C100016,2023-12-13,299,netbanking
P4069401,C100016,2022-12-21,0,netbanking
P6731960,C100016,2023-03-30,0,upi
P7151685,C100016,2023-03-07,299,upi
P1418413,C100016,2022-05-19,299,netbanking
P5160162,C100016,2023-07-11,299,card
P4234229,C100016,2022-04-19,0,card
P7480304,C100019,2024-01-25,0,upi
P9806217,C100020,2023-10-13,2999,netbanking
P2519665,C100021,2022-07-02,299,upi
P3656470,C100021,2022-12-05,299,upi
P1784349,C100021,2023-08-06,299,netbanking
P2165439,C100023,2022-10-30,299,card
P7428774,C100023,2024-04-06,299,card
P7334239,C100023,2024-06-16,299,upi
P5492806,C100023,2023-12-30,2999,upi
P1632226,C100023,2022-08-04,0,card
P7338242,C100023,2023-07-18,2999,card
P5978884,C100023,2022-01-25,299,upi
P4945014,C100024,2023-07-24,299,netbanking
P7674340,C100024,2022-04-09,299,upi
P4561127,C100025,2022-05-24,2999,card
P6044864,C100025,2022-05-14,0,netbanking
P5230099,C100025,2023-01-27,0,card
P8955683,C100025,2022-10-15,299,netbanking
P1639828,C100025,2022-04-29,2999,netbanking
P1809403,C100025,2023-01-25,0,upi
P7601083,C100025,2024-03-20,0,card
P4974479,C100027,2023-04-11,2999,netbanking
P8602235,C100027,2023-05-19,2999,netbanking
P9919340,C100027,2023-06-26,299,netbanking
P3760193,C100027,2023-09-26,2999,card
P5288872,C100027,2022-03-16,299,card
P2977669,C100027,2022-05-06,0,netbanking
P1426554,C100030,2022-06-14,299,card
P5315333,C100030,2023-05-31,2999,netbanking
P9943323,C100030,2023-04-28,2999,netbanking
P1779927,C100030,2024-01-08,299,netbanking
P2757119,C100030,2024-01-14,2999,card
P2594352,C100030,2023-11-03,299,netbanking
P2022626,C100030,2023-04-13,299,upi
P7554961,C100031,2024-02-25,299,card
P8800576,C100031,2022-10-05,2999,upi
P8190073,C100031,2023-10-16,0,card
P6553967,C100031,2024-01-28,0,card
P7213684,C100031,2023-07-07,0,card
P7117983,C100032,2024-02-14,0,card
P1357157,C100032,2023-04-06,2999,upi
P4773511,C100032,2022-08-19,0,netbanking
P8737117,C100032,2023-02-13,0,upi
P6372064,C100032,2024-06-10,0,card
P5689318,C100032,2023-10-11,299,card
P9207479,C100032,2024-02-26,0,card
P1347780,C100033,2024-05-03,299,card
P9104782,C100034,2024-01-31,299,upi
P5737123,C100034,2023-06-26,299,upi
P7748053,C100034,2023-07-07,299,card
P4644217,C100035,2022-06-16,0,upi
P1721141,C100035,2024-02-29,2999,upi
P1074808,C100035,2023-07-05,2999,upi
P6298520,C100035,2022-10-23,299,card
P4590440,C100035,2024-05-09,0,card
P4557331,C100036,2022-09-28,299,card
P5424793,C100036,2022-01-26,299,card
P3920867,C100036,2023-09-19,0,card
P1541527,C100038,2024-05-19,2999,upi
P1393512,C100038,2022-01-03,299,netbanking
P7587563,C100038,2022-06-07,2999,netbanking
P8861999,C100038,2024-02-27,0,netbanking
P6663171,C100038,2022-12-24,299,card
P8493894,C100038,2022-09-26,299,netbanking
P4394375,C100038,2022-12-22,299,upi
P5875697,C100039,2024-04-04,0,upi
P2499215,C100039,2024-03-19,2999,netbanking
P4536956,C100039,2023-03-11,299,card
P3340450,C100039,2023-06-26,2999,card
P2353391,C100039,2022-12-16,299,netbanking
P8903834,C100039,2022-04-17,299,card
P4394402,C100040,2024-04-19,2999,netbanking
P4228927,C100040,2022-02-23,2999,netbanking
P3749013,C100041,2023-06-04,299,upi
P8964145,C100041,2022-04-02,2999,netbanking
P3940683,C100041,2024-03-31,299,upi
P4776971,C100041,2023-02-02,0,netbanking
P5164045,C100041,2023-12-03,299,card
P1888037,C100043,2024-02-25,299,card
P5332463,C100043,2024-03-12,0,upi
P1218299,C100043,2023-07-21,299,netbanking
P9649039,C100043,2023-07-03,2999,card
P8201424,C100043,2024-01-01,2999,card
P2326648,C100043,2023-12-13,299,card
P3789483,C100043,2022-04-20,0,upi
P7162862,C100043,2024-03-01,2999,card
P6076534,C100044,2022-01-22,0,card
P4886701,C100044,2022-11-08,2999,card
P7674106,C100044,2022-03-03,299,upi
P8791765,C100044,2022-11-23,299,upi
P3128532,C100044,2023-05-11,2999,netbanking
P2676440,C100044,2022-04-05,299,netbanking
P8469588,C100044,2022-05-17,0,upi
P7789220,C100044,2022-04-20,299,netbanking
P1013270,C100045,2022-04-19,299,upi
P9905370,C100045,2023-08-02,2999,card
P8614778,C100045,2022-04-08,2999,card
P8195910,C100045,2023-03-02,0,card
P7164827,C100045,2022-08-27,0,netbanking
P2430216,C100045,2022-05-12,0,card
P3554182,C100045,2022-12-08,299,netbanking
P9120075,C100045,2023-03-05,2999,card
P8576583,C100046,2024-04-27,2999,netbanking
P2219561,C100046,2022-04-28,2999,upi
P8583303,C100046,2022-01-13,299,upi
P7885376,C100048,2023-07-01,299,upi
P8266950,C100048,2023-06-23,2999,netbanking
P8032747,C100048,2022-10-08,2999,card
P6152896,C100048,2024-01-26,0,upi
P5879230,C100048,2022-04-14,299,netbanking
P4946493,C100048,2023-04-30,2999,card
P6215397,C100049,2024-06-14,299,card
P6631831,C100049,2023-03-14,2999,netbanking
P8828476,C100049,2022-07-16,299,netbanking
P4116065,C100049,2022-10-26,299,upi
P3892299,C100049,2022-12-18,0,upi
P8453410,C100050,2023-04-16,0,netbanking
P9242860,C100050,2023-01-24,2999,netbanking
P9093085,C100050,2024-01-05,299,card
P4709449,C100050,2024-04-10,299,card
P7273455,C100050,2023-11-28,299,netbanking
P7471749,C100051,2023-02-02,2999,netbanking
P3702570,C100053,2024-01-13,299,netbanking
P5180114,C100053,2023-11-16,299,upi
P9060130,C100053,2023-11-04,0,upi
P1284681,C100055,2022-09-29,2999,netbanking
P2036411,C100056,2023-12-31,2999,card
P8380220,C100056,2023-11-27,0,netbanking
P2286412,C100056,2024-03-26,299,netbanking
P2637387,C100056,2022-12-26,299,card
P7374992,C100056,2023-09-28,299,card
P4751330,C100057,2022-05-25,299,netbanking
P6149879,C100057,2022-03-01,299,upi
P9242791,C100057,2023-05-15,2999,upi
P8022336,C100058,2022-12-11,299,netbanking
P2534525,C100058,2022-03-19,2999,upi
P6780919,C100059,2023-10-16,299,netbanking
P4857718,C100059,2023-12-05,0,card
P9474585,C100059,2022-08-24,2999,netbanking
P5885714,C100059,2024-03-03,2999,card
P7602610,C100059,2022-04-04,2999,netbanking
P1290389,C100060,2024-02-14,299,netbanking
P4106873,C100060,2023-03-21,0,card
P9537175,C100061,2024-01-23,299,netbanking
P6384026,C100061,2022-03-31,299,card
P7855673,C100061,2024-01-07,299,upi
P1898747,C100061,2023-02-12,299,card
P4238223,C100061,2023-11-09,299,upi
P9978269,C100061,2022-01-28,2999,card
P6894828,C100061,2022-03-01,299,upi
P9757292,C100061,2022-03-27,2999,card
P4356027,C100062,2022-09-27,2999,upi
P4436522,C100062,2022-10-08,299,card
P5188912,C100062,2023-02-22,0,upi
P9849121,C100063,2023-03-22,299,card
P9762763,C100063,2022-03-04,299,card
P8431064,C100063,2023-05-26,2999,card
P5174633,C100063,2023-09-23,299,netbanking
P9174560,C100063,2022-10-19,299,netbanking
P5371957,C100064,2022-10-29,2999,netbanking
P8120323,C100064,2022-04-07,299,card
P3420040,C100065,2023-02-01,299,netbanking
P9233802,C100065,2022-04-07,299,card
P5869258,C100065,2024-02-03,299,card
P1345453,C100065,2022-09-05,0,card
P7829602,C100065,2023-09-25,299,upi
P9384853,C100065,2022-10-20,2999,upi
P3189140,C100065,2022-11-05,299,netbanking
P7557196,C100066,2022-05-24,299,card
P4963732,C100066,2023-06-25,299,upi
P6063951,C100066,2024-01-17,0,netbanking
P1405689,C100067,2023-05-10,299,upi
P3889843,C100067,2023-09-11,299,netbanking
P6630421,C100067,2023-08-21,299,upi
P8056912,C100067,2022-04-17,299,netbanking
P3831840,C100067,2023-11-20,0,upi
P1679723,C100067,2023-07-28,0,card
P6237330,C100067,2023-07-24,299,card
P5442827,C100067,2022-12-23,2999,upi
P3589815,C100068,2024-03-19,299,netbanking
P3346389,C100068,2023-01-22,299,netbanking
P8998983,C100068,2023-03-25,299,netbanking
P4745428,C100068,2022-07-30,0,card
P4141461,C100068,2022-04-15,299,upi
P9744451,C100068,2022-12-12,299,card
P3191683,C100068,2022-04-09,0,card
P8800812,C100068,2023-11-18,299,upi
P4740329,C100069,2023-02-17,0,netbanking
P1117781,C100069,2022-09-30,0,card
P2749626,C100069,2022-09-20,299,card
P8420964,C100069,2023-09-30,2999,card
P5233054,C100069,2024-06-06,299,netbanking
P8845217,C100069,2022-09-25,299,card
P4055213,C100070,2022-12-16,0,card
P3165222,C100070,2024-05-20,299,netbanking
P7726580,C100070,2022-11-07,299,upi
P7729582,C100070,2024-05-15,2999,upi
P6554474,C100070,2023-06-13,0,upi
P2926425,C100070,2024-02-20,299,card
P3985991,C100071,2023-08-30,299,netbanking
P8997098,C100071,2022-03-10,2999,card
P2210480,C100071,2023-01-15,299,upi
P2750066,C100071,2023-04-18,2999,netbanking
P7233855,C100071,2022-09-11,299,upi
P3408918,C100071,2023-12-06,299,card
P6497961,C100072,2022-11-01,299,card
P8621520,C100072,2022-09-24,0,upi
P6487665,C100072,2022-01-30,299,netbanking
P1386023,C100072,2022-01-08,299,card
P8375617,C100072,2022-12-29,299,card
P6578848,C100072,2022-09-24,299,upi
P9833974,C100072,2023-12-28,299,card
P9131851,C100072,2022-02-14,299,card
P6241256,C100073,2023-03-06,299,card
P8711286,C100073,2023-07-02,299,netbanking
P6001574,C100073,2023-06-15,299,netbanking
P4789048,C100073,2022-04-28,299,upi
P5189693,C100073,2023-07-13,2999,upi
P3999773,C100073,2022-05-02,299,upi
P1779514,C100074,2023-03-23,0,card
P9988810,C100074,2023-05-23,299,card
P4940515,C100074,2024-03-02,0,upi
P6874500,C100074,2022-07-21,299,card
P5800810,C100074,2023-09-14,2999,netbanking
P3960516,C100074,2023-07-08,2999,netbanking
P3139897,C100074,2023-10-15,0,upi
P3127313,C100075,2023-01-07,299,card
P2991403,C100075,2022-10-21,299,upi
P1259474,C100075,2023-02-01,0,card
P4170866,C100075,2023-11-11,0,upi
P5166092,C100076,2024-04-06,2999,card
P2809989,C100076,2022-11-13,299,upi
P8112157,C100076,2023-05-14,299,netbanking
P6919778,C100076,2023-12-18,299,netbanking
P7834768,C100076,2022-11-15,2999,upi
P5396430,C100077,2024-04-06,299,netbanking
P2832300,C100078,2022-04-16,0,card
P8759060,C100080,2022-10-27,2999,upi
P2333769,C100081,2023-08-05,299,netbanking
P3842390,C100081,2023-10-07,2999,upi
P9496733,C100081,2024-04-28,299,netbanking
P6257685,C100082,2024-04-04,299,card
P5201029,C100082,2023-06-17,299,card
P1137475,C100082,2022-10-16,299,card
P8695467,C100083,2022-05-18,299,upi
P3272687,C100084,2022-03-17,299,card
P9218114,C100084,2023-03-30,0,upi
P2763456,C100084,2023-12-16,299,upi
P7462182,C100084,2022-11-26,299,upi
P9420514,C100084,2023-10-25,299,card
P4265440,C100084,2022-12-13,299,card
P1075409,C100084,2024-04-27,299,netbanking
P8564732,C100085,2023-11-29,299,card
P9178110,C100086,2022-10-05,299,card
P5234701,C100086,2023-08-07,299,card
P9827514,C100086,2022-01-15,2999,upi
P4226243,C100086,2022-01-03,2999,upi
P3683920,C100088,2023-09-02,299,netbanking
P1750347,C100088,2022-06-20,299,netbanking
P7750414,C100088,2024-06-01,299,upi
P2625591,C100088,2022-09-25,299,netbanking
P7527366,C100088,2023-09-12,2999,card
P5956256,C100088,2022-11-30,299,upi
P3592971,C100088,2022-02-03,0,netbanking
P5112181,C100088,2023-12-13,299,netbanking
P5225008,C100089,2023-03-07,299,netbanking
P3126477,C100089,2022-11-26,299,netbanking
P7978758,C100089,2024-04-21,0,card
P6351693,C100089,2023-10-18,299,netbanking
P8594467,C100089,2023-07-23,2999,upi
P9802654,C100089,2022-05-13,2999,upi
P3828643,C100089,2022-01-15,299,netbanking
P7456436,C100090,2023-07-18,299,netbanking
P8042764,C100090,2022-11-24,299,upi
P7946682,C100090,2022-07-02,0,upi
P7124620,C100093,2022-01-09,2999,upi
P1431586,C100093,2023-08-17,2999,netbanking
P3015351,C100093,2023-11-17,299,netbanking
P9819458,C100093,2024-06-02,2999,upi
P9580834,C100093,2024-02-26,0,upi
P1116213,C100093,2022-01-14,0,netbanking
P5151168,C100093,2023-12-17,299,netbanking
P1007753,C100093,2022-01-01,2999,netbanking
P8651494,C100094,2022-07-19,0,netbanking
P3579938,C100094,2023-07-05,299,netbanking
P7665472,C100094,2023-07-14,299,card
P9789442,C100094,2024-06-05,299,card
P9037332,C100094,2024-01-24,2999,card
P3593489,C100095,2024-03-15,2999,upi
P4198294,C100095,2022-02-22,0,netbanking
P2030358,C100097,2022-03-14,299,card
P2048931,C100097,2024-05-29,299,card
P8115247,C100097,2024-02-21,299,upi
P3853054,C100097,2023-08-08,0,upi
P4440478,C100097,2022-06-20,0,upi
P8841285,C100097,2024-06-13,0,card
P7569752,C100097,2023-01-23,299,netbanking
P7145123,C100098,2022-04-26,2999,netbanking
P2159212,C100098,2022-10-03,2999,netbanking
P2136852,C100099,2024-05-21,299,netbanking
P1998397,C100099,2023-08-16,299,netbanking
P1043761,C100099,2023-04-02,299,card
P3128835,C100099,2024-05-08,299,netbanking
P3249673,C100099,2023-04-11,0,card
P6171636,C100100,2024-05-01,299,netbanking
P3595166,C100100,2024-05-19,0,card
P4634952,C100101,2023-02-23,299,netbanking
P4988130,C100101,2022-12-07,299,card
P3810081,C100101,2022-11-10,2999,card
P7550543,C100101,2023-12-22,299,upi
P9176000,C100101,2022-07-25,0,card
P5518616,C100101,2023-10-23,0,upi
P6432543,C100101,2023-09-23,299,upi
P2483887,C100101,2022-12-26,0,card
P4853743,C100103,2024-02-29,299,card
P7030680,C100103,2022-09-03,299,netbanking
P9799204,C100104,2024-05-19,2999,netbanking
P6845817,C100104,2023-06-01,2999,upi
P3491564,C100104,2023-04-12,299,card
P4708863,C100104,2023-06-12,299,netbanking
P7710925,C100104,2022-09-26,2999,upi
P9651004,C100105,2023-10-26,299,card
P2634875,C100105,2024-04-15,0,netbanking
P2369769,C100105,2023-03-22,2999,card
P9191471,C100107,2022-11-25,299,upi
P4488928,C100107,2023-01-10,2999,card
P3509644,C100107,2022-01-19,2999,netbanking
P7868274,C100107,2023-08-25,2999,netbanking
P5561286,C100107,2022-03-30,299,netbanking
P8190647,C100109,2022-03-08,299,upi
P6498667,C100109,2023-04-25,299,netbanking
P3631108,C100109,2023-10-05,299,card
P1707129,C100109,2023-10-30,299,card
P9523217,C100110,2023-04-21,2999,card
P2608578,C100110,2023-09-22,299,card
P5416755,C100111,2022-12-03,2999,card
P2356894,C100111,2023-07-09,299,upi
P2191736,C100111,2024-04-09,299,upi
P3029870,C100111,2023-07-30,299,netbanking
P3713494,C100112,2023-10-04,299,netbanking
P5690283,C100112,2023-06-10,0,upi
P9658470,C100112,2022-12-12,299,upi
P9993160,C100112,2022-11-05,299,upi
P9114234,C100112,2024-01-27,299,card
P5319521,C100112,2022-10-04,299,card
P1740067,C100112,2022-02-13,299,upi
P4084474,C100113,2023-03-07,2999,upi
P9669796,C100113,2023-07-20,0,upi
P1371090,C100114,2022-12-21,2999,upi
P4110482,C100114,2023-05-21,299,upi
P1936248,C100114,2022-01-22,0,netbanking
P1377555,C100114,2023-07-25,2999,upi
P8664356,C100114,2022-12-31,299,upi
P1346668,C100114,2024-04-01,299,upi
P9350655,C100115,2023-08-07,299,upi
P4528607,C100116,2024-06-03,0,card
P6398912,C100116,2024-02-20,299,netbanking
P6394044,C100116,2023-04-03,2999,netbanking
P3463891,C100116,2023-12-04,299,netbanking
P6768735,C100117,2022-12-05,299,upi
P7268157,C100117,2024-04-18,299,card
P1410895,C100118,2023-05-28,299,upi
P5505271,C100118,2023-12-21,0,netbanking
P1222511,C100118,2023-03-11,299,netbanking
P2743849,C100118,2022-01-02,299,upi
P2865954,C100118,2022-12-14,2999,card
P4541064,C100118,2022-05-11,299,netbanking
P3555929,C100119,2024-05-27,299,card
P4141244,C100119,2022-10-07,0,upi
P5788942,C100119,2022-10-28,2999,upi
P9111723,C100119,2024-03-14,299,netbanking
P1623620,C100119,2023-11-26,299,netbanking
P3271965,C100119,2022-01-05,299,upi
P1667503,C100120,2022-04-29,2999,netbanking
P8524120,C100120,2023-02-07,299,card
P6171832,C100120,2022-05-23,299,card
P5518357,C100120,2023-12-13,0,upi
P8129809,C100120,2024-03-10,0,upi
P8936261,C100122,2024-04-08,299,netbanking
P9130087,C100122,2023-12-07,2999,netbanking
P5819487,C100122,2022-06-13,2999,upi
P9039716,C100122,2023-06-30,2999,upi
P5846017,C100122,2023-05-12,299,card
P5073777,C100123,2023-01-31,2999,card
P9915844,C100123,2022-02-25,299,card
P6591855,C100123,2022-08-06,2999,netbanking
P3215115,C100123,2023-03-27,299,upi
P1496862,C100123,2023-11-17,299,card
P2585286,C100123,2023-09-25,299,card
P1952719,C100123,2024-05-29,299,card
P5480097,C100125,2022-09-13,299,netbanking
P8720936,C100125,2023-10-19,0,card
P2350595,C100125,2022-11-11,299,netbanking
P1240903,C100125,2023-06-02,299,netbanking
P5431811,C100125,2024-04-19,299,card
P3258459,C100125,2024-03-04,299,netbanking
P4267459,C100127,2022-06-10,2999,card
P6302129,C100127,2022-01-16,299,netbanking
P6775461,C100128,2024-06-15,0,card
P5180754,C100128,2023-04-13,299,netbanking
P8259861,C100128,2022-08-08,0,upi
P4141275,C100128,2023-07-23,299,card
P9055994,C100128,2023-05-29,0,card
P6775091,C100128,2023-01-23,299,card
P7038449,C100128,2023-04-06,299,card
P3328381,C100129,2022-12-22,299,upi
P9538313,C100129,2022-12-06,299,upi
P6432017,C100129,2023-02-28,299,upi
P7041303,C100129,2023-01-29,299,card
P8150427,C100129,2022-01-26,2999,netbanking
P9404780,C100130,2022-10-01,299,card
P9810442,C100130,2023-05-04,299,netbanking
P7725253,C100130,2022-06-21,2999,netbanking
P9558900,C100130,2022-11-14,2999,card
P2871779,C100130,2023-04-30,299,upi
P1754339,C100130,2022-08-18,299,upi
P6911462,C100133,2022-12-18,299,netbanking
P7798286,C100133,2022-09-25,299,netbanking
P5182998,C100134,2022-12-15,0,netbanking
P5793488,C100134,2022-09-02,0,upi
P9551602,C100134,2023-04-01,299,netbanking
P3285586,C100134,2022-12-24,299,upi
P9534966,C100135,2023-10-13,0,card
P5828949,C100135,2022-10-21,299,netbanking
P1101552,C100135,2023-04-12,2999,card
P2984160,C100135,2022-10-21,299,upi
P1590999,C100136,2023-01-16,2999,netbanking
P7469913,C100136,2022-12-03,299,card
P4285409,C100136,2022-08-06,0,upi
P1677328,C100136,2023-05-09,2999,upi
P6618073,C100137,2023-09-10,299,upi
P2776778,C100137,2023-10-27,0,netbanking
P2101787,C100137,2024-05-23,299,card
P2752346,C100137,2023-06-20,299,netbanking
P7608570,C100137,2023-08-28,299,card
P3023768,C100137,2023-10-26,0,card
P8396642,C100138,2023-07-02,0,upi
P7106435,C100138,2024-05-26,0,card
P6842763,C100138,2023-11-02,299,upi
P5687704,C100139,2023-08-01,0,netbanking
P3989102,C100139,2022-06-17,2999,upi
P9799498,C100139,2023-08-12,299,card
P4203652,C100139,2022-04-16,0,netbanking
P3546111,C100139,2022-09-10,299,netbanking
P8721958,C100140,2022-03-20,2999,netbanking
P8751377,C100140,2024-05-17,0,card
P2461656,C100140,2024-01-07,0,netbanking
P9720836,C100140,2022-03-24,0,netbanking
P7332193,C100142,2024-01-01,2999,card
P8730667,C100143,2023-12-15,2999,upi
P4249357,C100143,2022-10-29,299,card
P1865737,C100143,2023-01-24,299,card
P5429343,C100143,2024-04-29,299,netbanking
P1042370,C100143,2023-07-13,0,card
P9720251,C100143,2024-06-05,299,card
P3604669,C100143,2022-12-06,299,card
P5333449,C100144,2022-04-12,299,card
P7973045,C100144,2022-08-17,299,upi
P5551727,C100144,2023-08-11,299,netbanking
P5242849,C100144,2023-04-27,299,upi
P4447616,C100144,2023-09-11,0,card
P6129911,C100144,2023-10-14,299,card
P9052430,C100144,2024-03-05,299,netbanking
P9670120,C100145,2023-12-15,2999,upi
P4560704,C100145,2023-07-01,2999,card
P9483296,C100145,2024-01-03,299,card
P2367270,C100145,2023-03-04,299,card
P2521381,C100145,2023-02-05,299,netbanking
P9832270,C100145,2023-12-19,299,card
P8707554,C100146,2024-04-04,0,netbanking
P6152746,C100146,2023-01-28,299,upi
P6308143,C100146,2024-01-15,0,card
P1935555,C100146,2023-06-21,299,netbanking
P5914287,C100146,2023-07-07,2999,netbanking
P2363895,C100146,2022-07-13,0,card
P7950122,C100146,2024-03-19,299,netbanking
P2129844,C100147,2022-06-16,299,upi
P8499836,C100147,2023-12-12,299,card
P1608687,C100147,2024-05-07,0,upi
P1464694,C100147,2023-10-18,299,card
P6390283,C100147,2024-05-30,299,card
P2086937,C100148,2023-11-11,299,netbanking
P8045105,C100148,2022-05-18,2999,netbanking
P7216115,C100148,2022-01-21,299,netbanking
P9222380,C100149,2023-12-15,299,upi
P2042146,C100149,2022-11-03,299,upi
P9917500,C100149,2022-05-24,299,upi
P6066602,C100149,2024-02-10,299,netbanking
P7163147,C100149,2022-12-11,299,netbanking
P8412594,C100150,2024-02-20,299,card
P6385430,C100150,2023-03-10,0,netbanking
P2578264,C100150,2023-01-19,299,upi
P3861689,C100150,2023-10-18,299,netbanking
P9654532,C100150,2023-03-02,299,card
P4810921,C100150,2022-04-03,2999,upi
P9321461,C100150,2022-02-05,2999,netbanking
P5056253,C100150,2023-06-15,299,card
P4518258,C100151,2024-06-06,299,card
P9727784,C100151,2022-04-22,2999,card
P5056217,C100151,2023-12-13,2999,netbanking
P6151431,C100151,2022-12-23,299,upi
P3869731,C100151,2022-04-22,299,card
P4958458,C100151,2024-01-25,299,upi
P5389949,C100151,2024-02-23,299,card
P3892862,C100152,2023-08-20,299,netbanking
P3960189,C100152,2022-07-26,0,card
P7203885,C100152,2024-04-10,299,netbanking
P9662613,C100152,2023-12-11,299,upi
P4038768,C100152,2022-02-27,299,netbanking
P6356205,C100153,2022-12-22,0,card
P9387638,C100153,2024-05-06,299,upi
P2704971,C100153,2022-03-21,2999,upi
P7429192,C100153,2024-02-24,299,upi
P8805256,C100154,2024-04-10,299,upi
P4483978,C100154,2022-10-04,299,netbanking
P5747849,C100155,2022-04-16,299,card
P3106549,C100155,2023-09-04,299,card
P7906417,C100155,2023-06-11,299,card
P3244752,C100155,2022-07-25,299,upi
P1917883,C100155,2023-05-23,299,upi
P2671583,C100156,2022-07-30,299,upi
P5302271,C100156,2023-04-21,0,upi
P2245997,C100158,2023-06-22,299,upi
P7381032,C100158,2022-02-15,2999,upi
P4899295,C100160,2023-02-02,2999,netbanking
P5978652,C100160,2024-04-30,299,netbanking
P4486957,C100160,2022-10-08,299,netbanking
P5694851,C100160,2022-08-01,299,card
P7964536,C100160,2023-11-28,0,netbanking
P4044357,C100160,2022-01-03,299,upi
P7297521,C100160,2023-10-28,299,netbanking
P7151203,C100161,2022-09-09,0,upi
P5659571,C100161,2023-02-12,0,card
P7768958,C100161,2022-03-17,299,netbanking
P9310085,C100162,2023-08-30,299,netbanking
P3869830,C100162,2022-02-08,2999,card
P2587760,C100163,2022-06-04,299,upi
P2478777,C100163,2023-01-04,0,upi
P4821230,C100163,2022-10-03,0,netbanking
P2599193,C100163,2022-12-26,0,card
P3192890,C100163,2023-05-02,299,upi
P7397600,C100164,2023-11-16,299,netbanking
P7138042,C100164,2023-06-04,299,netbanking
P5416400,C100164,2022-02-14,299,netbanking
P7101266,C100165,2023-07-03,0,card
P7517276,C100165,2022-06-23,299,card
P3377526,C100165,2022-02-22,299,upi
P5124095,C100165,2024-04-21,299,card
P8895068,C100166,2022-10-22,299,upi
P3826243,C100166,2022-06-07,0,card
P1596119,C100166,2022-09-20,299,card
P7043054,C100166,2022-11-24,0,card
P4978829,C100166,2024-04-02,0,card
P2944884,C100168,2022-03-20,299,netbanking
P1285284,C100168,2022-08-20,299,card
P5468477,C100168,2022-01-05,299,netbanking
P9905796,C100168,2023-01-10,0,upi
P3268356,C100168,2023-09-11,0,card
P7103393,C100168,2023-04-30,299,netbanking
P5495585,C100169,2022-07-21,299,netbanking
P9499020,C100169,2022-02-22,299,card
P7275474,C100170,2022-02-06,299,card
P4782684,C100170,2023-03-05,2999,upi
P6611453,C100170,2022-08-13,2999,netbanking
P7001377,C100170,2023-01-10,0,netbanking
P5024205,C100170,2023-02-16,299,card
P7218217,C100170,2023-06-06,299,card
P2062107,C100170,2023-08-28,299,netbanking
