"customer_id","signup_date","gender","age_group","city","acquisition_channel"
C100041,"2023-12-16",Female,"16-18",Vijayawada,Organic
C100042,"2023-03-09",Male,"10-12",Chennai,Referral
C100043,"2022-12-15",Female,"13-15",Bengaluru,Organic
C100044,"2022-10-12",Male,"13-15",Hyderabad,Organic
C100045,"2022-06-09",Female,"13-15",Vijayawada,Organic
C100046,"2022-08-09",Male,"13-15",Bengaluru,School Partnership
C100047,"2024-02-21",Female,"13-15",Rajahmundry,Google Ads
C100048,"2022-12-11",Female,"13-15",Chennai,Referral
C100049,"2022-04-15",Male,"10-12",Delhi,FB Ads
C100050,"2022-04-05",Other,"10-12",Rajahmundry,Organic
C100051,"2023-01-25",Female,"13-15",Vijayawada,Organic
C100052,"2022-04-10",Female,"10-12",Vijayawada,FB Ads
C100053,"2023-01-03",Female,"10-12",Rajahmundry,FB Ads
C100054,"2024-05-17",Female,"13-15",Vijayawada,Google Ads
C100055,"2022-12-19",Female,"16-18",Bengaluru,Organic
C100056,"2023-09-11",Male,"13-15",Vijayawada,School Partnership
C100057,"2022-09-28",Male,"10-12",Chennai,Organic
C100058,"2024-04-06",Male,"10-12",Bengaluru,School Partnership
C100059,"2022-02-14",Male,"16-18",Hyderabad,Organic
C100060,"2024-01-18",Male,"10-12",Vijayawada,FB Ads
C100061,"2023-04-16",Male,"10-12",Vijayawada,Organic
C100062,"2023-07-04",Female,"13-15",Chennai,FB Ads
C100063,"2022-05-08",Male,"13-15",Chennai,FB Ads
C100064,"2023-01-23",Male,"13-15",Delhi,FB Ads
C100065,"2022-03-22",Female,"10-12",Rajahmundry,FB Ads
C100066,"2023-07-20",Male,"10-12",Rajahmundry,Google Ads
C100067,"2022-10-28",Female,"16-18",Rajahmundry,Google Ads
C100068,"2024-04-29",Male,"10-12",Chennai,Referral
C100069,"2023-10-06",Other,"13-15",Rajahmundry,Organic
C100070,"2023-09-26",Female,"13-15",Rajahmundry,Google Ads
C100071,"2024-06-01",Male,"13-15",Hyderabad,FB Ads
C100072,"2023-01-06",Male,"13-15",Rajahmundry,FB Ads
C100073,"2023-08-15",Female,"10-12",Vijayawada,FB Ads
C100074,"2022-07-16",Female,"13-15",Delhi,Organic
C100075,"2023-12-23",Female,"16-18",Chennai,Organic
C100076,"2022-03-13",Female,"16-18",Bengaluru,Organic
C100077,"2022-02-16",Male,"10-12",Delhi,Organic
C100078,"2023-11-09",Male,"10-12",Hyderabad,Google Ads
C100079,"2022-08-22",Male,"16-18",Chennai,Google Ads
C100080,"2024-03-02",Female,"13-15",Chennai,School Partnership
C100081,"2022-10-24",Female,"16-18",Vijayawada,Google Ads
C100082,"2022-03-23",Male,"10-12",Delhi,Organic
C100083,"2024-05-25",Male,"13-15",Delhi,Referral
C100084,"2022-08-27",Male,"13-15",Rajahmundry,Referral
C100085,"2024-06-06",Male,"13-15",Vijayawada,FB Ads
C100086,"2022-04-14",Female,"13-15",Rajahmundry,FB Ads
C100087,"2023-01-25",Female,"10-12",Rajahmundry,School Partnership
C100088,"2022-10-12",Female,"13-15",Chennai,FB Ads
C100089,"2023-04-10",Male,"10-12",Delhi,School Partnership
C100090,"2023-10-13",Male,"13-15",Rajahmundry,Organic
C100091,"2024-05-04",Female,"16-18",Hyderabad,Organic
C100092,"2023-01-09",Female,"13-15",Hyderabad,FB Ads
C100093,"2022-06-16",Female,"16-18",Delhi,FB Ads
C100094,"2023-01-15",Female,"10-12",Hyderabad,Referral
C100095,"2022-12-30",Female,"13-15",Chennai,School Partnership
C100096,"2022-08-03",Female,"16-18",Vijayawada,FB Ads
C100097,"2023-11-18",Male,"10-12",Bengaluru,Organic
C100098,"2022-10-01",Male,"10-12",Rajahmundry,Referral
C100099,"2023-12-20",Male,"13-15",Bengaluru,Google Ads
C100100,"2023-12-01",Male,"10-12",Vijayawada,Organic
C100101,"2023-10-26",Female,"13-15",Vijayawada,FB Ads
C100102,"2022-03-15",Male,"16-18",Chennai,Google Ads
C100103,"2023-09-16",Female,"13-15",Hyderabad,Google Ads
C100104,"2023-10-13",Female,"10-12",Hyderabad,FB Ads
C100105,"2022-06-25",Male,"13-15",Vijayawada,Organic
C100106,"2023-07-01",Male,"13-15",Chennai,School Partnership
C100107,"2024-01-17",Female,"10-12",Chennai,Google Ads
C100108,"2022-09-08",Male,"13-15",Delhi,FB Ads
C100109,"2022-06-17",Male,"13-15",Rajahmundry,Organic
C100110,"2023-04-19",Male,"13-15",Hyderabad,Google Ads
C100111,"2023-01-24",Male,"10-12",Vijayawada,Organic
C100112,"2022-10-04",Female,"13-15",Delhi,Organic
C100113,"2023-10-18",Female,"10-12",Bengaluru,FB Ads
C100114,"2023-12-06",Female,"10-12",Hyderabad,Organic
C100115,"2023-07-25",Female,"16-18",Rajahmundry,Google Ads
C100116,"2022-08-13",Female,"13-15",Chennai,Organic
C100117,"2023-12-03",Male,"10-12",Vijayawada,Google Ads
C100118,"2022-11-29",Female,"10-12",Hyderabad,Organic
C100119,"2024-05-13",Female,"10-12",Bengaluru,Organic
C100120,"2024-02-26",Female,"10-12",Rajahmundry,Organic
C100121,"2024-03-05",Female,"10-12",Rajahmundry,School Partnership
C100122,"2022-02-27",Male,"10-12",Delhi,Referral
C100123,"2022-08-23",Male,"13-15",Hyderabad,Organic
C100124,"2024-04-21",Male,"13-15",Bengaluru,Google Ads
C100125,"2022-02-02",Male,"13-15",Rajahmundry,Google Ads
C100126,"2024-04-04",Female,"13-15",Vijayawada,School Partnership
C100127,"2022-11-20",Female,"10-12",Rajahmundry,FB Ads
C100128,"2023-02-15",Male,"16-18",Bengaluru,Google Ads
C100129,"2022-10-02",Female,"16-18",Chennai,Organic
C100130,"2022-03-09",Male,"16-18",Chennai,FB Ads
C100131,"2022-08-05",Male,"16-18",Delhi,School Partnership
C100132,"2023-08-04",Male,"16-18",Hyderabad,FB Ads
C100133,"2024-06-16",Male,"13-15",Bengaluru,Organic
C100134,"2024-01-06",Female,"10-12",Delhi,Organic
C100135,"2022-11-19",Male,"13-15",Rajahmundry,Google Ads
C100136,"2022-08-06",Female,"13-15",Rajahmundry,Google Ads
C100137,"2023-11-03",Female,"13-15",Chennai,FB Ads
C100138,"2023-05-27",Male,"13-15",Delhi,School Partnership
C100139,"2023-02-10",Other,"10-12",Chennai,Organic
C100140,"2023-10-21",Other,"13-15",Vijayawada,Organic
C100141,"2023-04-15",Male,"16-18",Chennai,School Partnership
C100142,"2022-05-27",Female,"13-15",Vijayawada,Organic
C100143,"2022-09-29",Male,"13-15",Rajahmundry,Organic
C100144,"2022-05-23",Male,"10-12",Delhi,FB Ads
C100145,"2022-09-10",Male,"13-15",Vijayawada,Referral
C100146,"2024-02-02",Female,"16-18",Delhi,Organic
C100147,"2023-07-29",Female,"13-15",Delhi,School Partnership
C100148,"2023-07-06",Male,"16-18",Vijayawada,Google Ads
C100149,"2022-09-27",Male,"13-15",Hyderabad,Organic
C100150,"2024-02-04",Female,"13-15",Chennai,Google Ads
C100151,"2023-08-22",Male,"10-12",Vijayawada,FB Ads
C100152,"2023-03-15",Male,"13-15",Rajahmundry,FB Ads
C100153,"2023-08-21",Female,"13-15",Delhi,Google Ads
C100154,"2023-02-13",Other,"13-15",Bengaluru,School Partnership
C100155,"2023-01-06",Male,"13-15",Vijayawada,Organic
C100156,"2022-08-13",Female,"16-18",Chennai,FB Ads
C100157,"2022-05-22",Female,"10-12",Delhi,FB Ads
C100158,"2023-06-06",Male,"16-18",Hyderabad,FB Ads
C100159,"2023-05-21",Female,"10-12",Rajahmundry,FB Ads
C100160,"2022-04-04",Male,"13-15",Hyderabad,Organic
C100161,"2024-02-13",Female,"10-12",Bengaluru,Google Ads
C100162,"2022-02-18",Female,"13-15",Vijayawada,FB Ads
C100163,"2024-05-31",Female,"13-15",Delhi,Organic
C100164,"2022-04-23",Male,"10-12",Vijayawada,Referral
C100165,"2022-06-06",Female,"13-15",Chennai,Referral
C100166,"2023-10-05",Male,"16-18",Vijayawada,FB Ads
C100167,"2022-06-13",Male,"10-12",Rajahmundry,Organic
C100168,"2024-03-22",Male,"16-18",Bengaluru,Google Ads
C100169,"2023-11-28",Female,"13-15",Hyderabad,Organic
C100170,"2023-03-09",Female,"13-15",Bengaluru,Organic
C100171,"2023-09-03",Male,"10-12",Delhi,Google Ads
C100172,"2022-03-07",Female,"10-12",Vijayawada,Organic
C100173,"2023-01-30",Male,"10-12",Delhi,Organic
C100174,"2023-01-26",Female,"10-12",Hyderabad,Organic
C100175,"2023-09-03",Male,"10-12",Delhi,Organic
C100176,"2023-04-25",Female,"13-15",Chennai,Organic
C100177,"2023-06-26",Male,"16-18",Bengaluru,School Partnership
C100178,"2022-09-15",Female,"16-18",Hyderabad,Organic
C100179,"2023-07-21",Male,"13-15",Hyderabad,Organic
C100180,"2024-05-31",Male,"10-12",Hyderabad,Organic
C100181,"2022-01-12",Male,"10-12",Rajahmundry,School Partnership
C100182,"2023-11-28",Female,"13-15",Bengaluru,FB Ads
C100183,"2024-01-09",Female,"10-12",Delhi,FB Ads
C100184,"2022-04-28",Male,"13-15",Hyderabad,Referral
C100185,"2023-11-30",Female,"13-15",Bengaluru,FB Ads
C100186,"2023-07-04",Female,"13-15",Hyderabad,Organic
C100187,"2024-02-08",Female,"13-15",Chennai,Organic
C100188,"2022-10-01",Female,"16-18",Chennai,FB Ads
C100189,"2024-02-27",Male,"16-18",Chennai,Organic
C100190,"2023-10-19",Male,"13-15",Vijayawada,Google Ads
C100191,"2022-12-15",Female,"16-18",Hyderabad,Organic
C100192,"2022-04-25",Female,"16-18",Vijayawada,FB Ads
C100193,"2022-10-28",Female,"13-15",Bengaluru,Organic
C100194,"2023-03-22",Male,"13-15",Vijayawada,Organic
C100195,"2022-06-11",Male,"13-15",Bengaluru,FB Ads
C100196,"2023-04-10",Female,"16-18",Bengaluru,School Partnership
C100197,"2022-01-04",Female,"16-18",Bengaluru,FB Ads
C100198,"2024-01-10",Female,"10-12",Delhi,Google Ads
C100199,"2024-06-15",Female,"13-15",Vijayawada,Organic
C100200,"2024-01-07",Female,"13-15",Delhi,Organic
C100201,"2022-09-27",Male,"13-15",Hyderabad,Organic
C100202,"2023-05-28",Male,"10-12",Vijayawada,Organic
C100203,"2024-02-20",Female,"16-18",Hyderabad,Organic
C100204,"2022-07-02",Female,"13-15",Hyderabad,Organic
C100205,"2023-06-04",Male,"16-18",Bengaluru,Google Ads
C100206,"2022-04-19",Male,"16-18",Vijayawada,Organic
C100207,"2024-06-10",Female,"13-15",Hyderabad,FB Ads
C100208,"2023-10-03",Male,"13-15",Chennai,FB Ads
C100209,"2022-11-02",Male,"13-15",Hyderabad,FB Ads
C100210,"2024-05-11",Female,"10-12",Chennai,FB Ads
C100211,"2023-10-17",Female,"13-15",Vijayawada,Organic
C100212,"2023-06-04",Female,"10-12",Delhi,Organic
C100213,"2023-09-16",Male,"13-15",Vijayawada,Google Ads
C100214,"2022-07-23",Female,"10-12",Delhi,Referral
C100215,"2022-06-06",Male,"10-12",Delhi,Organic
C100216,"2023-01-18",Male,"10-12",Vijayawada,Organic
C100217,"2024-02-20",Female,"10-12",Hyderabad,Referral
C100218,"2022-06-15",Female,"13-15",Rajahmundry,Organic
C100219,"2023-07-07",Female,"13-15",Hyderabad,FB Ads
C100220,"2024-03-08",Female,"13-15",Hyderabad,FB Ads
C100221,"2023-06-28",Female,"10-12",Bengaluru,Organic
C100222,"2022-01-01",Male,"10-12",Bengaluru,FB Ads
C100223,"2023-09-06",Male,"10-12",Hyderabad,FB Ads
C100224,"2022-11-28",Male,"10-12",Chennai,Organic
C100225,"2023-05-16",Male,"16-18",Delhi,FB Ads
C100226,"2022-01-20",Other,"10-12",Bengaluru,Google Ads
C100227,"2022-04-25",Male,"13-15",Hyderabad,FB Ads
C100228,"2023-01-07",Female,"10-12",Rajahmundry,Organic
C100229,"2024-06-18",Female,"10-12",Chennai,FB Ads
C100230,"2024-05-01",Female,"13-15",Vijayawada,Google Ads
C100231,"2024-04-06",Female,"13-15",Hyderabad,Google Ads
C100232,"2022-11-11",Female,"10-12",Hyderabad,Google Ads
C100233,"2022-09-03",Female,"10-12",Delhi,Organic
C100234,"2022-03-01",Male,"13-15",Chennai,Google Ads
C100235,"2022-09-04",Female,"10-12",Bengaluru,Google Ads
C100236,"2024-06-18",Male,"10-12",Bengaluru,Organic
C100237,"2023-08-04",Male,"16-18",Bengaluru,FB Ads
C100238,"2022-03-22",Female,"13-15",Vijayawada,Organic
C100239,"2022-03-29",Male,"13-15",Chennai,Google Ads
C100240,"2024-01-20",Female,"13-15",Chennai,Organic
C100241,"2023-05-13",Female,"13-15",Bengaluru,FB Ads
C100242,"2024-04-15",Female,"13-15",Bengaluru,School Partnership
C100243,"2022-03-12",Male,"13-15",Delhi,Google Ads
C100244,"2024-02-18",Male,"13-15",Rajahmundry,School Partnership
C100245,"2023-06-30",Female,"10-12",Rajahmundry,School Partnership
C100246,"2024-02-24",Male,"13-15",Hyderabad,Organic
C100247,"2022-05-09",Other,"13-15",Hyderabad,Google Ads
C100248,"2022-05-12",Other,"16-18",Chennai,FB Ads
C100249,"2023-11-07",Female,"13-15",Chennai,Referral
C100250,"2023-05-02",Male,"13-15",Vijayawada,Organic
C100251,"2023-07-17",Male,"10-12",Vijayawada,School Partnership
C100252,"2022-06-19",Female,"13-15",Rajahmundry,Google Ads
C100253,"2022-09-29",Male,"10-12",Hyderabad,Google Ads
C100254,"2023-06-25",Male,"13-15",Rajahmundry,Organic
C100255,"2024-06-12",Female,"10-12",Rajahmundry,Organic
C100256,"2023-09-14",Female,"13-15",Hyderabad,Google Ads
C100257,"2023-03-10",Female,"10-12",Vijayawada,Organic
C100258,"2022-08-05",Female,"13-15",Delhi,Referral
C100259,"2023-07-07",Male,"16-18",Delhi,Organic
C100260,"2024-02-13",Female,"10-12",Delhi,Google Ads
C100261,"2024-01-18",Other,"13-15",Hyderabad,FB Ads
C100262,"2023-12-08",Male,"13-15",Bengaluru,Google Ads
C100263,"2022-07-25",Female,"10-12",Bengaluru,Google Ads
C100264,"2024-01-01",Female,"16-18",Bengaluru,Organic
C100265,"2022-11-16",Female,"10-12",Chennai,Organic
C100266,"2023-02-13",Female,"13-15",Vijayawada,Organic
C100267,"2023-11-19",Female,"13-15",Vijayawada,FB Ads
C100268,"2023-10-28",Male,"13-15",Chennai,FB Ads
C100269,"2023-01-18",Male,"13-15",Rajahmundry,Google Ads
C100270,"2023-03-25",Female,"10-12",Delhi,FB Ads
C100271,"2023-06-14",Female,"10-12",Bengaluru,FB Ads
C100272,"2023-04-08",Female,"13-15",Delhi,FB Ads
C100273,"2022-05-04",Female,"13-15",Bengaluru,Organic
C100274,"2022-09-11",Female,"16-18",Delhi,Organic
C100275,"2022-08-19",Female,"16-18",Rajahmundry,School Partnership
C100276,"2022-03-07",Female,"16-18",Delhi,Referral
C100277,"2022-12-13",Female,"13-15",Delhi,Organic
C100278,"2022-01-22",Female,"13-15",Hyderabad,FB Ads
C100279,"2023-08-26",Female,"16-18",Delhi,Referral
C100280,"2023-07-22",Female,"13-15",Hyderabad,FB Ads
C100281,"2022-08-24",Male,"10-12",Vijayawada,Organic
C100282,"2023-08-26",Male,"16-18",Chennai,Organic
C100283,"2022-08-14",Male,"16-18",Delhi,FB Ads
C100284,"2022-01-08",Female,"13-15",Vijayawada,School Partnership
C100285,"2022-03-14",Male,"10-12",Hyderabad,Google Ads
C100286,"2023-12-26",Male,"13-15",Delhi,Organic
C100287,"2023-10-09",Female,"16-18",Delhi,Organic
C100288,"2022-03-02",Male,"16-18",Rajahmundry,Google Ads
C100289,"2022-08-23",Female,"10-12",Vijayawada,Referral
C100290,"2022-03-11",Male,"10-12",Bengaluru,Google Ads
C100291,"2022-02-02",Male,"16-18",Bengaluru,Google Ads
C100292,"2024-05-30",Female,"13-15",Rajahmundry,Organic
C100293,"2022-12-05",Male,"13-15",Hyderabad,Referral
C100294,"2022-03-14",Male,"16-18",Bengaluru,Google Ads
C100295,"2023-06-11",Female,"10-12",Bengaluru,Organic
C100296,"2022-09-01",Female,"13-15",Chennai,Google Ads
C100297,"2022-10-13",Male,"10-12",Vijayawada,Organic
C100298,"2023-11-17",Female,"13-15",Hyderabad,Organic
C100299,"2023-05-13",Male,"16-18",Delhi,Organic
C100300,"2022-08-08",Male,"13-15",Vijayawada,Organic
C100301,"2023-07-07",Female,"16-18",Hyderabad,Organic
C100302,"2022-05-16",Female,"13-15",Bengaluru,FB Ads
C100303,"2024-01-11",Female,"13-15",Chennai,FB Ads
C100304,"2023-08-08",Female,"10-12",Vijayawada,FB Ads
C100305,"2023-08-14",Other,"13-15",Bengaluru,Organic
C100306,"2023-04-30",Female,"13-15",Hyderabad,Organic
C100307,"2022-09-06",Male,"10-12",Vijayawada,Google Ads
C100308,"2024-03-14",Female,"13-15",Delhi,FB Ads
C100309,"2023-04-30",Male,"13-15",Vijayawada,Organic
C100310,"2024-04-06",Male,"13-15",Bengaluru,Referral
C100311,"2023-02-21",Male,"13-15",Vijayawada,Google Ads
C100312,"2022-07-14",Male,"13-15",Delhi,Referral
C100313,"2022-04-07",Other,"10-12",Chennai,FB Ads
C100314,"2022-04-10",Female,"10-12",Chennai,Organic
C100315,"2023-11-06",Female,"13-15",Bengaluru,Google Ads
C100316,"2023-03-18",Male,"13-15",Hyderabad,Organic
C100317,"2022-12-29",Male,"10-12",Bengaluru,FB Ads
C100318,"2023-03-10",Male,"16-18",Chennai,Organic
C100319,"2023-02-25",Male,"16-18",Rajahmundry,Referral
C100320,"2023-04-24",Female,"13-15",Rajahmundry,Organic
C100321,"2024-06-03",Female,"10-12",Vijayawada,School Partnership
C100322,"2024-01-17",Female,"16-18",Delhi,Referral
C100323,"2022-02-25",Male,"13-15",Vijayawada,FB Ads
C100324,"2023-11-21",Female,"16-18",Rajahmundry,Google Ads
C100325,"2023-11-01",Female,"16-18",Chennai,Google Ads
C100326,"2023-10-24",Female,"16-18",Vijayawada,Referral
C100327,"2022-04-11",Female,"13-15",Bengaluru,FB Ads
C100328,"2022-03-04",Male,"10-12",Delhi,Google Ads
C100329,"2023-02-17",Male,"13-15",Bengaluru,FB Ads
C100330,"2024-01-16",Male,"13-15",Delhi,School Partnership
C100331,"2022-12-14",Female,"13-15",Chennai,FB Ads
C100332,"2024-03-30",Male,"10-12",Vijayawada,FB Ads
C100333,"2024-06-01",Male,"10-12",Delhi,Google Ads
C100334,"2022-04-22",Male,"16-18",Bengaluru,Referral
C100335,"2022-09-12",Male,"13-15",Vijayawada,FB Ads
C100336,"2022-07-16",Female,"16-18",Vijayawada,Organic
C100337,"2022-07-14",Female,"16-18",Bengaluru,FB Ads
C100338,"2023-07-04",Male,"13-15",Rajahmundry,School Partnership
C100339,"2023-04-05",Male,"13-15",Delhi,Google Ads
C100340,"2022-05-24",Female,"16-18",Bengaluru,Referral
C100341,"2023-03-09",Male,"13-15",Chennai,Organic
C100342,"2022-07-07",Male,"13-15",Hyderabad,FB Ads
C100343,"2022-10-13",Male,"10-12",Bengaluru,Google Ads
C100344,"2023-04-19",Male,"13-15",Vijayawada,Referral
C100345,"2022-09-13",Female,"13-15",Vijayawada,Organic
C100346,"2024-06-14",Female,"10-12",Bengaluru,Referral
C100347,"2022-03-19",Male,"10-12",Hyderabad,FB Ads
C100348,"2023-03-30",Male,"13-15",Bengaluru,Organic
C100349,"2024-04-07",Female,"10-12",Hyderabad,Organic
C100350,"2024-06-01",Female,"10-12",Hyderabad,Organic
C100351,"2024-05-26",Female,"13-15",Chennai,FB Ads
C100352,"2023-07-18",Female,"16-18",Delhi,Organic
C100353,"2022-04-11",Male,"13-15",Vijayawada,Organic
C100354,"2022-02-21",Male,"10-12",Vijayawada,Referral
C100355,"2023-10-30",Female,"10-12",Hyderabad,Organic
C100356,"2023-07-08",Male,"13-15",Vijayawada,Organic
C100357,"2024-05-06",Female,"13-15",Rajahmundry,FB Ads
C100358,"2022-01-16",Female,"16-18",Hyderabad,FB Ads
C100359,"2022-04-06",Female,"13-15",Vijayawada,Google Ads
C100360,"2024-02-11",Male,"16-18",Rajahmundry,FB Ads
C100361,"2024-05-19",Female,"10-12",Chennai,Google Ads
C100362,"2022-08-31",Male,"13-15",Vijayawada,Google Ads
C100363,"2022-06-20",Female,"10-12",Rajahmundry,Organic
C100364,"2023-02-21",Female,"16-18",Bengaluru,Organic
C100365,"2023-05-13",Male,"13-15",Delhi,FB Ads
C100366,"2023-05-08",Other,"13-15",Bengaluru,FB Ads
C100367,"2022-08-07",Female,"10-12",Rajahmundry,Google Ads
C100368,"2024-06-04",Male,"10-12",Hyderabad,FB Ads
C100369,"2023-02-15",Male,"13-15",Hyderabad,FB Ads
C100370,"2022-03-02",Male,"10-12",Vijayawada,Organic
C100371,"2022-06-18",Male,"13-15",Bengaluru,Organic
C100372,"2023-01-24",Male,"10-12",Hyderabad,FB Ads
C100373,"2022-01-03",Female,"13-15",Hyderabad,FB Ads
C100374,"2023-02-04",Male,"16-18",Bengaluru,FB Ads
C100375,"2022-09-29",Male,"16-18",Chennai,Organic
C100376,"2024-03-13",Female,"16-18",Hyderabad,Google Ads
C100377,"2024-03-14",Male,"10-12",Delhi,Referral
C100378,"2023-04-11",Female,"10-12",Rajahmundry,Organic
C100379,"2022-10-20",Male,"13-15",Vijayawada,FB Ads
C100380,"2023-03-10",Male,"13-15",Hyderabad,School Partnership
C100381,"2023-12-15",Female,"13-15",Delhi,Organic
C100382,"2024-01-19",Female,"10-12",Delhi,FB Ads
C100383,"2024-03-13",Female,"10-12",Hyderabad,Organic
C100384,"2023-07-24",Female,"10-12",Chennai,Google Ads
C100385,"2023-11-09",Female,"16-18",Rajahmundry,Organic
C100386,"2024-01-06",Male,"10-12",Vijayawada,School Partnership
C100387,"2023-05-14",Male,"13-15",Hyderabad,Google Ads
C100388,"2022-06-08",Female,"10-12",Vijayawada,Google Ads
C100389,"2022-07-14",Female,"13-15",Bengaluru,Google Ads
C100390,"2022-10-31",Other,"13-15",Delhi,FB Ads
C100391,"2022-08-11",Male,"16-18",Delhi,FB Ads
C100392,"2022-03-01",Male,"16-18",Hyderabad,Referral
C100393,"2023-08-17",Female,"13-15",Hyderabad,School Partnership
C100394,"2024-01-24",Male,"16-18",Bengaluru,FB Ads
C100395,"2023-07-10",Female,"16-18",Chennai,School Partnership
C100396,"2022-03-04",Female,"16-18",Hyderabad,FB Ads
C100397,"2024-02-05",Male,"16-18",Delhi,FB Ads
C100398,"2022-11-18",Female,"10-12",Vijayawada,FB Ads
C100399,"2022-02-28",Female,"13-15",Rajahmundry,Organic
C100400,"2022-02-21",Male,"10-12",Vijayawada,Organic
C100401,"2023-08-22",Female,"10-12",Chennai,Organic
C100402,"2023-05-04",Female,"16-18",Rajahmundry,FB Ads
C100403,"2023-05-30",Female,"13-15",Vijayawada,FB Ads
C100404,"2024-05-23",Male,"13-15",Vijayawada,FB Ads
C100405,"2023-06-28",Female,"16-18",Bengaluru,School Partnership
C100406,"2022-06-11",Male,"16-18",Chennai,FB Ads
C100407,"2022-02-28",Male,"16-18",Delhi,FB Ads
C100408,"2023-06-05",Female,"10-12",Bengaluru,Organic
C100409,"2022-03-24",Male,"10-12",Rajahmundry,Organic
C100410,"2024-05-21",Male,"13-15",Delhi,Google Ads
C100411,"2022-07-10",Female,"10-12",Bengaluru,FB Ads
C100412,"2022-03-12",Female,"10-12",Chennai,Google Ads
C100413,"2023-09-02",Female,"13-15",Hyderabad,Organic
C100414,"2022-03-11",Female,"16-18",Hyderabad,FB Ads
C100415,"2023-11-23",Male,"13-15",Rajahmundry,Organic
C100416,"2024-06-01",Male,"13-15",Hyderabad,Organic
C100417,"2022-08-29",Male,"13-15",Bengaluru,Organic
C100418,"2023-02-18",Female,"10-12",Rajahmundry,Organic
C100419,"2022-05-03",Female,"10-12",Delhi,Organic
C100420,"2023-08-07",Female,"16-18",Chennai,Organic
C100421,"2022-09-10",Female,"13-15",Rajahmundry,School Partnership
C100422,"2023-08-16",Male,"16-18",Delhi,Organic
C100423,"2023-09-01",Female,"10-12",Rajahmundry,Organic
C100424,"2022-02-10",Male,"16-18",Vijayawada,Organic
C100425,"2023-09-27",Female,"13-15",Vijayawada,FB Ads
C100426,"2022-03-25",Male,"13-15",Rajahmundry,Organic
C100427,"2023-03-06",Female,"13-15",Hyderabad,Referral
C100428,"2023-11-05",Male,"16-18",Vijayawada,School Partnership
C100429,"2023-08-21",Male,"13-15",Chennai,Organic
C100430,"2023-08-02",Male,"13-15",Delhi,FB Ads
C100431,"2023-06-20",Female,"16-18",Bengaluru,Organic
C100432,"2022-11-20",Female,"16-18",Vijayawada,Google Ads
C100433,"2022-09-25",Male,"13-15",Rajahmundry,FB Ads
C100434,"2022-07-29",Male,"13-15",Hyderabad,Organic
C100435,"2023-11-17",Female,"13-15",Bengaluru,Organic
C100436,"2024-01-04",Male,"10-12",Delhi,Google Ads
C100437,"2022-11-18",Female,"13-15",Delhi,FB Ads
C100438,"2022-09-02",Female,"16-18",Vijayawada,Organic
C100439,"2022-09-29",Male,"16-18",Delhi,Google Ads
C100440,"2023-02-10",Male,"13-15",Delhi,FB Ads
