customer_id,date,sessions,minutes_watched,courses_completed
C100008,2025-06-19,5,180,1
C100008,2025-05-16,6,78,0
C100008,2025-04-15,8,248,1
C100008,2025-03-16,7,105,0
C100008,2025-02-14,8,272,0
C100008,2025-01-16,8,160,1
C100008,2024-12-20,6,192,1
C100009,2025-11-15,3,45,0
C100009,2025-10-16,7,329,0
C100009,2025-09-17,5,100,0
C100009,2025-08-14,9,324,0
C100009,2025-07-17,6,234,1
C100009,2025-06-15,6,192,0
C100009,2025-05-17,4,100,0
C100009,2025-04-19,10,260,0
C100009,2025-03-17,2,96,0
C100009,2025-02-14,9,153,1
C100009,2025-01-17,6,54,0
C100009,2024-12-16,6,252,1
C100010,2025-11-15,3,108,1
C100010,2025-10-13,8,152,0
C100010,2025-09-12,6,162,0
C100010,2025-08-14,7,84,0
C100010,2025-07-14,3,108,1
C100010,2025-06-15,4,164,1
C100010,2025-05-16,6,186,1
C100010,2025-04-18,8,280,3
C100010,2025-03-21,10,130,2
C100010,2025-02-18,4,0,1
C100010,2025-01-19,9,288,0
C100010,2024-12-21,6,102,0
C100011,2025-11-16,5,95,1
C100011,2025-10-13,10,260,0
C100011,2025-09-14,7,196,0
C100011,2025-08-17,7,308,0
C100011,2025-07-19,3,78,0
C100011,2025-06-14,4,76,1
C100011,2025-05-19,4,96,1
C100011,2025-04-20,8,144,1
C100011,2025-03-18,9,333,0
C100011,2025-02-19,6,138,0
C100011,2025-01-17,3,87,1
C100011,2024-12-19,4,52,1
C100012,2025-11-14,6,78,0
C100012,2025-10-13,8,264,1
C100012,2025-09-15,4,96,0
C100012,2025-08-17,4,56,1
C100012,2025-07-17,3,120,0
C100012,2025-06-14,5,160,1
C100012,2025-05-15,5,110,1
C100012,2025-04-17,9,207,1
C100012,2025-03-19,4,76,0
C100012,2025-02-17,5,145,1
C100012,2025-01-17,3,75,0
C100012,2024-12-17,7,189,1
C100013,2025-11-15,4,100,0
C100013,2025-10-16,7,133,0
C100013,2025-09-17,6,132,0
C100013,2025-08-17,3,57,1
C100013,2025-07-19,6,126,0
C100013,2025-06-19,7,252,1
C100013,2025-05-18,4,128,0
C100013,2025-04-18,3,63,0
C100013,2025-03-17,5,45,1
C100013,2025-02-16,6,162,1
C100013,2025-01-18,7,91,0
C100013,2024-12-18,4,156,1
C100014,2025-11-16,7,196,0
C100014,2025-10-16,9,414,0
C100014,2025-09-12,3,69,0
C100014,2025-08-14,4,36,2
C100014,2025-07-18,9,225,1
C100014,2025-06-15,8,304,0
C100014,2025-05-20,5,105,1
C100014,2025-04-20,12,408,0
C100014,2025-03-20,3,78,0
C100014,2025-02-14,2,42,0
C100014,2025-01-18,6,54,0
C100014,2024-12-21,14,392,0
C100015,2025-11-15,4,72,0
C100015,2025-10-17,3,108,0
C100015,2025-09-16,10,260,0
C100015,2025-08-13,8,8,0
C100015,2025-07-16,6,144,0
C100015,2025-06-17,10,300,0
C100015,2025-05-17,6,144,2
C100015,2025-04-18,7,259,0
C100015,2025-03-17,7,91,1
C100015,2025-02-14,8,288,0
C100015,2025-01-16,9,126,2
C100015,2024-12-18,5,185,1
C100016,2025-11-15,6,126,0
C100016,2025-10-15,8,224,0
C100016,2025-09-13,7,105,0
C100016,2025-08-16,4,28,0
C100016,2025-07-14,11,297,1
C100016,2025-06-14,5,130,0
C100016,2025-05-17,7,210,1
C100016,2025-04-20,6,114,1
C100016,2025-03-17,5,65,1
C100016,2025-02-16,3,18,0
C100016,2025-01-20,10,380,1
C100016,2024-12-17,6,192,1
C100017,2025-11-12,5,70,0
C100017,2025-10-16,5,130,0
C100017,2025-09-17,6,246,0
C100017,2025-08-16,5,65,0
C100017,2025-07-14,5,155,0
C100017,2025-06-17,4,196,0
C100017,2025-05-16,5,145,0
C100017,2025-04-18,9,216,1
C100017,2025-03-20,11,363,0
C100017,2025-02-17,8,120,0
C100017,2025-01-15,7,133,1
C100017,2024-12-19,6,162,1
C100018,2025-11-13,6,126,1
C100018,2025-10-14,3,84,1
C100018,2025-09-16,6,132,0
C100018,2025-08-18,5,95,1
C100018,2025-07-19,5,40,0
C100018,2025-06-18,5,75,1
C100018,2025-05-16,6,270,0
C100018,2025-04-16,7,105,1
C100018,2025-03-19,9,189,1
C100018,2025-02-19,5,65,1
C100018,2025-01-19,6,126,0
C100018,2024-12-19,7,98,1
C100019,2025-11-15,9,243,0
C100019,2025-10-16,9,261,1
C100019,2025-09-14,2,22,1
C100019,2025-08-17,4,36,1
C100019,2025-07-14,10,30,0
C100019,2025-06-14,3,84,0
C100019,2025-05-19,7,147,1
C100019,2025-04-20,5,260,0
C100019,2025-03-20,6,144,0
C100019,2025-02-18,5,185,0
C100019,2025-01-18,5,95,1
C100019,2024-12-18,7,203,0
C100020,2025-11-14,6,186,1
C100020,2025-10-16,4,92,0
C100020,2025-09-15,9,171,1
C100020,2025-08-15,4,108,1
C100020,2025-07-18,10,190,0
C100020,2025-06-14,6,42,1
C100020,2025-05-20,5,125,0
C100020,2025-04-20,9,297,1
C100020,2025-03-19,7,175,0
C100020,2025-02-18,5,170,0
C100020,2025-01-15,11,165,0
C100020,2024-12-18,5,45,1
C100021,2025-11-11,6,132,0
C100021,2025-10-13,12,264,1
C100021,2025-09-14,3,75,1
C100021,2025-08-14,4,68,0
C100021,2025-07-14,2,92,0
C100021,2025-06-14,6,222,1
C100021,2025-05-15,11,286,1
C100021,2025-04-15,5,125,0
C100021,2025-03-18,6,222,1
C100021,2025-02-15,4,148,0
C100021,2025-01-20,7,175,0
C100021,2024-12-21,3,87,1
C100022,2025-11-12,7,28,1
C100022,2025-10-12,4,68,2
C100022,2025-09-15,5,135,1
C100022,2025-08-13,7,161,0
C100022,2025-07-14,4,92,0
C100022,2025-06-18,5,60,0
C100022,2025-05-16,4,112,0
C100022,2025-04-18,11,253,1
C100022,2025-03-18,9,108,1
C100022,2025-02-15,7,224,0
C100022,2025-01-20,6,54,0
C100022,2024-12-20,10,140,1
C100023,2025-11-11,8,280,0
C100023,2025-10-17,3,102,0
C100023,2025-09-12,10,270,0
C100023,2025-08-13,6,306,0
C100023,2025-07-16,3,48,0
C100023,2025-06-16,6,150,1
C100023,2025-05-18,10,210,1
C100023,2025-04-20,8,120,0
C100023,2025-03-18,8,176,1
C100023,2025-02-17,10,240,0
C100023,2025-01-19,6,156,0
C100023,2024-12-21,8,72,1
C100024,2025-11-14,14,196,0
C100024,2025-10-16,11,231,1
C100024,2025-09-15,8,152,0
C100024,2025-08-18,8,328,2
C100024,2025-07-18,0,0,1
C100024,2025-06-18,4,76,0
C100024,2025-05-16,6,252,0
C100024,2025-04-18,6,324,0
C100024,2025-03-21,4,132,0
C100024,2025-02-18,6,150,0
C100024,2025-01-19,8,40,0
C100024,2024-12-17,3,84,1
C100025,2025-11-12,7,231,0
C100025,2025-10-15,6,192,0
C100025,2025-09-14,8,152,0
C100025,2025-08-15,8,96,1
C100025,2025-07-17,10,310,0
C100025,2025-06-18,9,72,0
C100025,2025-05-17,4,72,1
C100025,2025-04-18,5,165,0
C100025,2025-03-16,2,68,0
C100025,2025-02-18,8,248,0
C100025,2025-01-19,6,150,0
C100025,2024-12-20,8,192,1
C100026,2025-11-15,8,24,1
C100026,2025-10-13,11,275,0
C100026,2025-09-16,8,192,0
C100026,2025-08-14,3,45,1
C100026,2025-07-18,8,224,2
C100026,2025-06-19,2,46,0
C100026,2025-05-19,8,32,0
C100026,2025-04-20,5,130,2
C100026,2025-03-20,3,90,0
C100026,2025-02-17,3,33,2
C100026,2025-01-17,6,198,1
C100026,2024-12-17,6,132,0
C100027,2025-11-16,6,156,0
C100027,2025-10-16,6,42,0
C100027,2025-09-16,6,150,1
C100027,2025-08-18,10,170,1
C100027,2025-07-18,12,480,0
C100027,2025-06-19,9,234,1
C100027,2025-05-19,8,216,0
C100027,2025-04-19,10,200,0
C100027,2025-03-19,4,64,0
C100027,2025-02-16,7,252,1
C100027,2025-01-17,6,150,0
C100027,2024-12-18,5,70,0
C100028,2025-11-16,7,175,2
C100028,2025-10-12,11,231,0
C100028,2025-09-12,2,38,0
C100028,2025-08-18,4,132,1
C100028,2025-07-14,6,126,1
C100028,2025-06-16,7,182,0
C100028,2025-05-17,4,72,0
C100028,2025-04-18,6,168,1
C100028,2025-03-21,7,210,0
C100028,2025-02-16,4,88,1
C100028,2025-01-17,7,203,1
C100028,2024-12-20,5,90,0
C100029,2025-11-13,7,329,0
C100029,2025-10-13,7,231,0
C100029,2025-09-13,4,76,0
C100029,2025-08-16,5,105,1
C100029,2025-07-17,5,65,0
C100029,2025-06-18,6,168,0
C100029,2025-05-15,5,130,0
C100029,2025-04-20,2,34,0
C100029,2025-03-20,8,368,0
C100029,2025-02-17,9,126,0
C100029,2025-01-15,3,45,0
C100029,2024-12-19,7,189,1
C100030,2025-11-15,4,0,0
C100030,2025-10-17,5,70,2
C100030,2025-09-17,9,144,2
C100030,2025-08-17,7,168,1
C100030,2025-07-18,2,0,0
C100030,2025-06-14,8,224,0
C100030,2025-05-16,9,252,1
C100030,2025-04-16,5,130,0
C100030,2025-03-19,5,215,0
C100030,2025-02-16,2,16,1
C100030,2025-01-19,4,100,1
C100030,2024-12-20,3,93,0
C100031,2025-11-16,12,444,0
C100031,2025-10-16,7,308,0
C100031,2025-09-15,7,35,0
C100031,2025-08-13,5,75,1
C100031,2025-07-18,5,190,0
C100031,2025-06-19,7,154,0
C100031,2025-05-19,4,152,1
C100031,2025-04-16,10,310,0
C100031,2025-03-19,9,63,1
C100031,2025-02-16,13,299,1
C100031,2025-01-20,9,252,1
C100031,2024-12-17,7,147,1
C100032,2025-11-11,12,336,0
C100032,2025-10-17,7,245,0
C100032,2025-09-17,5,155,0
C100032,2025-08-15,3,12,0
C100032,2025-07-14,3,48,0
C100032,2025-06-18,4,108,0
C100032,2025-05-19,9,117,1
C100032,2025-04-15,11,220,1
C100032,2025-03-20,4,156,0
C100032,2025-02-17,8,128,0
C100032,2025-01-20,11,319,0
C100032,2024-12-19,6,162,1
C100033,2025-11-16,2,36,0
C100033,2025-10-14,6,126,0
C100033,2025-09-12,9,288,1
C100033,2025-08-15,4,24,0
C100033,2025-07-17,4,60,1
C100033,2025-06-14,8,312,0
C100033,2025-05-16,5,100,0
C100033,2025-04-17,2,32,0
C100033,2025-03-16,4,80,1
C100033,2025-02-19,4,180,0
C100033,2025-01-17,7,98,0
C100033,2024-12-16,6,174,1
C100034,2025-11-11,6,18,0
C100034,2025-10-12,6,96,0
C100034,2025-09-14,7,238,0
C100034,2025-08-16,6,126,0
C100034,2025-07-17,6,168,1
C100034,2025-06-16,7,126,0
C100034,2025-05-20,12,180,0
C100034,2025-04-16,2,56,1
C100034,2025-03-17,3,69,0
C100034,2025-02-18,11,319,0
C100034,2025-01-18,5,165,0
C100034,2024-12-21,6,204,1
C100035,2025-11-13,5,100,1
C100035,2025-10-15,11,374,0
C100035,2025-09-12,6,228,0
C100035,2025-08-14,6,48,0
C100035,2025-07-18,5,95,1
C100035,2025-06-15,5,90,0
C100035,2025-05-17,5,110,0
C100035,2025-04-19,11,396,0
C100035,2025-03-16,7,196,0
C100035,2025-02-16,7,119,0
C100035,2025-01-15,9,180,2
C100035,2024-12-20,6,24,0
C100036,2025-11-14,6,198,2
C100036,2025-10-13,7,224,1
C100036,2025-09-17,10,220,0
C100036,2025-08-17,7,112,1
C100036,2025-07-18,5,180,0
C100036,2025-06-17,7,98,0
C100036,2025-05-16,5,70,0
C100036,2025-04-20,6,204,1
C100036,2025-03-17,9,270,1
C100036,2025-02-14,8,88,0
C100036,2025-01-18,11,264,0
C100036,2024-12-18,8,296,1
C100037,2025-11-13,7,329,3
C100037,2025-10-13,12,396,1
C100037,2025-09-15,3,54,0
C100037,2025-08-13,9,261,1
C100037,2025-07-17,5,175,2
C100037,2025-06-15,8,152,0
C100037,2025-05-15,6,150,1
C100037,2025-04-15,10,90,1
C100037,2025-03-20,3,42,1
C100037,2025-02-18,3,60,1
C100037,2025-01-17,5,100,0
C100037,2024-12-20,12,108,1
C100038,2025-11-11,8,352,1
C100038,2025-10-16,11,121,0
C100038,2025-09-14,7,168,0
C100038,2025-08-14,3,51,2
C100038,2025-07-19,11,286,1
C100038,2025-06-18,7,245,1
C100038,2025-05-20,7,21,1
C100038,2025-04-19,6,90,0
C100038,2025-03-21,4,84,0
C100038,2025-02-19,6,144,0
C100038,2025-01-20,1,10,1
C100038,2024-12-21,6,216,0
C100039,2025-11-12,6,138,1
C100039,2025-10-14,3,6,1
C100039,2025-09-13,9,243,0
C100039,2025-08-18,2,48,0
C100039,2025-07-18,4,128,0
C100039,2025-06-14,6,138,1
C100039,2025-05-18,5,155,0
C100039,2025-04-15,8,328,1
C100039,2025-03-17,5,50,0
C100039,2025-02-16,8,424,1
C100039,2025-01-15,6,96,0
C100039,2024-12-17,4,92,0
C100040,2025-11-16,5,130,0
C100040,2025-10-12,6,138,0
C100040,2025-09-17,2,40,0
C100040,2025-08-15,6,60,1
C100040,2025-07-19,1,25,1
C100040,2025-06-16,6,192,1
C100040,2025-05-18,4,80,0
C100040,2025-04-15,2,22,2
C100040,2025-03-21,6,210,1
C100040,2025-02-14,3,84,0
C100040,2025-01-19,4,0,1
C100040,2024-12-17,6,78,1
C100041,2025-11-15,6,126,0
C100041,2025-10-15,7,196,0
C100041,2025-09-17,4,100,0
C100041,2025-08-14,6,156,0
C100041,2025-07-15,3,93,0
C100041,2025-06-15,7,182,0
C100041,2025-05-18,7,126,1
C100041,2025-04-15,5,80,2
C100041,2025-03-19,3,93,0
C100041,2025-02-18,4,48,0
C100041,2025-01-16,6,168,0
C100041,2024-12-19,12,24,2
C100042,2025-11-11,7,280,2
C100042,2025-10-17,6,120,0
C100042,2025-09-14,5,125,0
C100042,2025-08-18,5,60,1
C100042,2025-07-18,6,282,2
C100042,2025-06-18,8,248,0
C100042,2025-05-19,3,66,3
C100042,2025-04-17,4,60,1
C100042,2025-03-18,6,198,0
C100042,2025-02-14,6,144,1
C100042,2025-01-18,11,374,1
C100042,2024-12-20,8,160,1
C100043,2025-11-15,5,120,2
C100043,2025-10-13,2,52,2
C100043,2025-09-14,2,40,1
C100043,2025-08-17,12,264,1
C100043,2025-07-18,4,144,1
C100043,2025-06-19,4,84,1
C100043,2025-05-18,7,259,1
C100043,2025-04-18,6,90,1
C100043,2025-03-20,9,342,1
C100043,2025-02-18,8,232,0
C100043,2025-01-20,5,0,0
C100043,2024-12-18,8,280,0
C100044,2025-11-15,6,240,0
C100044,2025-10-14,5,110,0
C100044,2025-09-12,6,90,0
C100044,2025-08-16,3,135,0
C100044,2025-07-14,7,63,0
C100044,2025-06-17,4,32,0
C100044,2025-05-16,2,42,0
C100044,2025-04-15,7,231,1
C100044,2025-03-18,9,396,0
C100044,2025-02-18,1,15,1
C100044,2025-01-19,10,310,1
C100044,2024-12-16,10,130,0
C100045,2025-11-11,5,75,0
C100045,2025-10-17,7,182,1
C100045,2025-09-12,7,133,1
C100045,2025-08-14,7,98,1
C100045,2025-07-18,4,96,1
C100045,2025-06-18,8,344,0
C100045,2025-05-18,6,258,3
C100045,2025-04-18,6,174,0
C100045,2025-03-19,8,264,0
C100045,2025-02-16,6,108,1
C100045,2025-01-20,5,85,1
C100045,2024-12-19,7,119,0
C100046,2025-11-12,10,410,0
C100046,2025-10-13,7,266,0
C100046,2025-09-14,5,155,0
C100046,2025-08-14,5,130,0
C100046,2025-07-15,4,52,0
C100046,2025-06-15,8,264,0
C100046,2025-05-18,3,48,0
C100046,2025-04-20,7,154,1
C100046,2025-03-19,4,88,0
C100046,2025-02-16,8,0,0
C100046,2025-01-20,8,216,0
C100046,2024-12-20,8,200,0
C100047,2025-11-16,6,0,0
C100047,2025-10-15,5,145,0
C100047,2025-09-13,5,75,0
C100047,2025-08-13,7,434,0
C100047,2025-07-16,4,92,0
C100047,2025-06-15,10,490,1
C100047,2025-05-15,8,232,0
C100047,2025-04-18,7,175,1
C100047,2025-03-21,3,30,0
C100047,2025-02-15,3,57,1
C100047,2025-01-18,13,208,0
C100047,2024-12-20,4,20,2
C100048,2025-11-11,9,144,1
C100048,2025-10-14,4,136,0
C100048,2025-09-14,7,105,0
C100048,2025-08-16,9,342,0
C100048,2025-07-15,9,297,0
C100048,2025-06-14,6,180,0
C100048,2025-05-19,7,154,0
C100048,2025-04-17,5,170,1
C100048,2025-03-18,9,189,0
C100048,2025-02-14,10,230,1
C100048,2025-01-15,4,76,0
C100048,2024-12-20,7,42,1
C100049,2025-11-15,3,39,1
C100049,2025-10-13,7,84,0
C100049,2025-09-12,2,42,1
C100049,2025-08-16,3,66,1
C100049,2025-07-16,4,132,0
C100049,2025-06-18,4,140,1
C100049,2025-05-18,6,108,0
C100049,2025-04-19,9,387,0
C100049,2025-03-18,8,256,0
C100049,2025-02-16,4,72,1
C100049,2025-01-17,10,130,1
C100049,2024-12-19,11,154,0
C100050,2025-11-15,7,140,0
C100050,2025-10-16,5,130,0
C100050,2025-09-15,5,220,1
C100050,2025-08-14,6,144,0
C100050,2025-07-18,5,165,2
C100050,2025-06-19,9,81,0
C100050,2025-05-17,4,60,1
C100050,2025-04-20,7,133,0
C100050,2025-03-18,6,156,2
C100050,2025-02-17,3,69,1
C100050,2025-01-16,6,102,1
C100050,2024-12-21,11,132,0
C100051,2025-11-15,7,133,0
C100051,2025-10-13,10,330,1
C100051,2025-09-16,6,150,0
C100051,2025-08-18,4,100,0
C100051,2025-07-14,8,216,1
C100051,2025-06-17,8,184,0
C100051,2025-05-16,6,120,1
C100051,2025-04-15,4,132,0
C100051,2025-03-20,6,192,0
C100051,2025-02-18,7,238,1
C100051,2025-01-16,9,261,2
C100051,2024-12-19,5,125,0
C100052,2025-11-16,9,81,2
C100052,2025-10-17,7,140,0
C100052,2025-09-15,6,120,1
C100052,2025-08-15,6,198,0
C100052,2025-07-18,3,93,0
C100052,2025-06-19,8,160,0
C100052,2025-05-19,9,279,2
C100052,2025-04-16,9,162,0
C100052,2025-03-19,3,84,0
C100052,2025-02-17,3,105,0
C100052,2025-01-15,5,125,1
C100052,2024-12-16,9,117,0
C100053,2025-11-12,4,116,0
C100053,2025-10-14,3,63,0
C100053,2025-09-16,7,168,1
C100053,2025-08-15,6,216,0
C100053,2025-07-18,6,120,0
C100053,2025-06-16,6,0,0
C100053,2025-05-15,11,341,0
C100053,2025-04-15,8,240,1
C100053,2025-03-20,2,64,0
C100053,2025-02-14,5,190,1
C100053,2025-01-17,6,246,0
C100053,2024-12-20,2,32,0
C100054,2025-11-12,8,200,2
C100054,2025-10-12,8,184,0
C100054,2025-09-15,9,189,0
C100054,2025-08-13,8,96,0
C100054,2025-07-18,8,192,0
C100054,2025-06-19,5,140,1
C100054,2025-05-17,12,144,0
C100054,2025-04-17,3,33,0
C100054,2025-03-21,4,124,1
C100054,2025-02-17,4,64,0
C100054,2025-01-15,8,320,0
C100054,2024-12-19,4,32,0
C100055,2025-11-12,6,204,0
C100055,2025-10-13,11,209,0
C100055,2025-09-17,11,220,0
C100055,2025-08-13,6,168,1
C100055,2025-07-14,9,171,0
C100055,2025-06-15,9,216,0
C100055,2025-05-18,9,153,0
C100055,2025-04-20,7,154,0
C100055,2025-03-20,9,270,1
C100055,2025-02-18,5,90,1
C100055,2025-01-15,10,280,0
C100055,2024-12-21,6,42,0
C100056,2025-11-15,5,125,1
C100056,2025-10-12,10,360,0
C100056,2025-09-13,5,130,0
C100056,2025-08-18,5,45,0
C100056,2025-07-19,8,200,1
C100056,2025-06-17,3,105,0
C100056,2025-05-16,9,198,1
C100056,2025-04-16,6,204,0
C100056,2025-03-20,10,490,1
C100056,2025-02-14,9,216,0
C100056,2025-01-19,5,70,0
C100056,2024-12-21,9,180,0
C100057,2025-11-11,11,275,1
C100057,2025-10-17,9,279,0
C100057,2025-09-16,6,156,0
C100057,2025-08-17,7,182,0
C100057,2025-07-19,7,217,0
C100057,2025-06-18,3,75,1
C100057,2025-05-20,4,148,0
C100057,2025-04-18,7,105,1
C100057,2025-03-16,2,50,0
C100057,2025-02-17,11,121,0
C100057,2025-01-16,9,63,0
C100057,2024-12-16,6,132,0
C100058,2025-11-16,2,38,0
C100058,2025-10-12,8,208,1
C100058,2025-09-15,5,235,1
C100058,2025-08-14,3,63,0
C100058,2025-07-18,5,90,0
C100058,2025-06-16,6,162,0
C100058,2025-05-16,8,352,1
C100058,2025-04-17,4,64,1
C100058,2025-03-17,5,170,1
C100058,2025-02-16,7,98,0
C100058,2025-01-17,4,40,1
C100058,2024-12-19,7,154,1
C100059,2025-11-16,4,56,0
C100059,2025-10-17,2,26,1
C100059,2025-09-13,8,280,0
C100059,2025-08-18,4,108,0
C100059,2025-07-15,10,310,1
C100059,2025-06-17,4,116,1
C100059,2025-05-18,6,216,0
C100059,2025-04-16,2,42,2
C100059,2025-03-17,5,130,0
C100059,2025-02-19,5,70,0
C100059,2025-01-17,9,324,1
C100059,2024-12-19,3,126,0
C100060,2025-11-14,8,112,0
C100060,2025-10-16,7,84,1
C100060,2025-09-12,4,140,2
C100060,2025-08-18,7,182,0
C100060,2025-07-19,10,250,1
C100060,2025-06-16,2,92,0
C100060,2025-05-19,10,290,0
C100060,2025-04-16,4,104,1
C100060,2025-03-17,6,192,0
C100060,2025-02-16,3,108,0
C100060,2025-01-17,7,287,0
C100060,2024-12-16,2,90,0
C100061,2025-11-12,6,162,1
C100061,2025-10-14,9,378,1
C100061,2025-09-16,3,117,0
C100061,2025-08-16,5,135,0
C100061,2025-07-15,8,120,0
C100061,2025-06-17,6,114,1
C100061,2025-05-15,6,168,1
C100061,2025-04-17,7,105,0
C100061,2025-03-16,3,81,0
C100061,2025-02-16,3,75,0
C100061,2025-01-18,7,133,1
C100061,2024-12-18,10,280,1
C100062,2025-11-11,1,30,1
C100062,2025-10-15,4,84,0
C100062,2025-09-12,4,104,0
C100062,2025-08-18,5,75,0
C100062,2025-07-15,4,152,1
C100062,2025-06-16,10,230,0
C100062,2025-05-15,4,84,1
C100062,2025-04-19,3,105,1
C100062,2025-03-20,5,100,2
C100062,2025-02-17,7,182,0
C100062,2025-01-15,1,39,0
C100062,2024-12-20,4,148,1
C100063,2025-11-16,9,216,1
C100063,2025-10-13,7,259,0
C100063,2025-09-16,1,15,0
C100063,2025-08-13,11,264,0
C100063,2025-07-16,1,10,0
C100063,2025-06-18,6,180,1
C100063,2025-05-19,5,100,0
C100063,2025-04-20,6,90,0
C100063,2025-03-20,7,182,1
C100063,2025-02-18,2,42,0
C100063,2025-01-20,8,200,1
C100063,2024-12-19,9,261,0
C100064,2025-11-11,6,144,0
C100064,2025-10-17,7,42,1
C100064,2025-09-17,8,104,0
C100064,2025-08-16,3,93,0
C100064,2025-07-18,5,200,0
C100064,2025-06-15,4,112,0
C100064,2025-05-18,10,220,0
C100064,2025-04-16,3,72,0
C100064,2025-03-20,11,220,1
C100064,2025-02-19,7,175,0
C100064,2025-01-18,3,54,0
C100064,2024-12-16,6,78,1
C100065,2025-11-13,3,135,1
C100065,2025-10-13,8,224,0
C100065,2025-09-13,9,162,0
C100065,2025-08-13,7,175,1
C100065,2025-07-19,8,328,0
C100065,2025-06-19,4,132,2
C100065,2025-05-17,6,228,1
C100065,2025-04-16,7,245,0
C100065,2025-03-18,3,69,1
C100065,2025-02-18,6,216,1
C100065,2025-01-17,7,161,0
C100065,2024-12-17,5,190,1
C100066,2025-11-12,1,35,0
C100066,2025-10-13,5,160,1
C100066,2025-09-13,2,50,1
C100066,2025-08-16,11,352,0
C100066,2025-07-15,12,276,0
C100066,2025-06-14,6,162,1
C100066,2025-05-16,8,352,1
C100066,2025-04-20,3,60,0
C100066,2025-03-16,10,350,1
C100066,2025-02-18,8,40,0
C100066,2025-01-16,10,380,1
C100066,2024-12-16,6,42,1
C100067,2025-11-15,6,174,0
C100067,2025-10-17,7,154,1
C100067,2025-09-12,5,105,0
C100067,2025-08-14,8,264,0
C100067,2025-07-19,10,150,0
C100067,2025-06-19,4,144,0
C100067,2025-05-19,10,230,0
C100067,2025-04-17,6,150,0
C100067,2025-03-18,6,168,2
C100067,2025-02-16,8,168,3
C100067,2025-01-20,7,70,1
C100067,2024-12-16,4,104,0
C100068,2025-11-11,4,12,1
C100068,2025-10-12,7,154,0
C100068,2025-09-16,4,40,0
C100068,2025-08-13,4,132,0
